Title,Price_GBP,Star_rating,In_stock,Category
It's Only the Himalayas,£45.17,Two,In stock,travel_2
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,£49.43,Four,In stock,travel_2
See America: A Celebration of Our National Parks & Treasured Sites,£48.87,Three,In stock,travel_2
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,£36.94,Two,In stock,travel_2
Under the Tuscan Sun,£37.33,Three,In stock,travel_2
A Summer In Europe,£44.34,Two,In stock,travel_2
The Great Railway Bazaar,£30.54,One,In stock,travel_2
A Year in Provence (Provence #1),£56.88,Four,In stock,travel_2
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),£23.21,One,In stock,travel_2
Neither Here nor There: Travels in Europe,£38.95,Three,In stock,travel_2
"1,000 Places to See Before You Die",£26.08,Five,In stock,travel_2
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,One,In stock,science-fiction_16
Join,£35.67,Five,In stock,science-fiction_16
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",£43.30,Four,In stock,science-fiction_16
The Project,£10.65,One,In stock,science-fiction_16
Soft Apocalypse,£26.12,Two,In stock,science-fiction_16
Sleeping Giants (Themis Files #1),£48.74,One,In stock,science-fiction_16
Arena,£21.36,Four,In stock,science-fiction_16
Foundation (Foundation (Publication Order) #1),£32.42,One,In stock,science-fiction_16
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),£10.92,One,In stock,science-fiction_16
Ready Player One,£19.07,Four,In stock,science-fiction_16
"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",£33.26,Two,In stock,science-fiction_16
Dune (Dune #1),£54.86,One,In stock,science-fiction_16
Do Androids Dream of Electric Sheep? (Blade Runner #1),£51.48,One,In stock,science-fiction_16
Three Wishes (River of Time: California #1),£44.18,Two,In stock,science-fiction_16
The Last Girl (The Dominion Trilogy #1),£36.26,Two,In stock,science-fiction_16
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),£34.96,Four,In stock,science-fiction_16
The Book of Basketball: The NBA According to The Sports Guy,£44.84,Five,In stock,sports-and-games_17
"Friday Night Lights: A Town, a Team, and a Dream",£51.22,Three,In stock,sports-and-games_17
Sugar Rush (Offensive Line #2),£24.42,One,In stock,sports-and-games_17
Settling the Score (The Summer Games #1),£44.91,Two,In stock,sports-and-games_17
Icing (Aces Hockey #2),£40.44,Four,In stock,sports-and-games_17
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,£42.96,Four,In stock,science_22
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,£57.36,Five,In stock,science_22
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,£44.74,Four,In stock,science_22
Tipping Point for Planet Earth: How Close Are We to the Edge?,£37.55,One,In stock,science_22
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",£55.91,One,In stock,science_22
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,£28.41,One,In stock,science_22
The Origin of Species,£10.01,Four,In stock,science_22
The Grand Design,£13.76,Three,In stock,science_22
Peak: Secrets from the New Science of Expertise,£16.28,Two,In stock,science_22
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",£13.03,Four,In stock,science_22
"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",£57.35,Five,In stock,science_22
"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",£25.83,Two,In stock,science_22
Seven Brief Lessons on Physics,£30.60,Four,In stock,science_22
The Selfish Gene,£29.45,One,In stock,science_22
The Lucifer Effect: Understanding How Good People Turn Evil,£10.40,One,In stock,psychology_26
The Golden Condom: And Other Essays on Love Lost and Found,£39.43,One,In stock,psychology_26
It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,£56.27,Three,In stock,psychology_26
An Unquiet Mind: A Memoir of Moods and Madness,£21.30,Three,In stock,psychology_26
"Thinking, Fast and Slow",£21.14,One,In stock,psychology_26
Civilization and Its Discontents,£59.95,Two,In stock,psychology_26
8 Keys to Mental Health Through Exercise,£31.04,One,In stock,psychology_26
The Dirty Little Secrets of Getting Your Dream Job,£33.34,Four,In stock,business_35
The Third Wave: An Entrepreneur’s Vision of the Future,£12.61,Five,In stock,business_35
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,£27.55,Three,In stock,business_35
Shoe Dog: A Memoir by the Creator of NIKE,£23.99,Two,In stock,business_35
Made to Stick: Why Some Ideas Survive and Others Die,£38.85,Five,In stock,business_35
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,£43.14,One,In stock,business_35
The Art of Startup Fundraising,£21.00,Three,In stock,business_35
Born for This: How to Find the Work You Were Meant to Do,£21.59,Five,In stock,business_35
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,£36.91,One,In stock,business_35
"Rich Dad, Poor Dad",£51.74,One,In stock,business_35
The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,£33.92,Three,In stock,business_35
Rework,£44.88,Two,In stock,business_35
Silence in the Dark (Logan Point #4),£58.33,Three,In stock,suspense_44
